Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
01/01/2024,1648734,0.79
01/02/2024,3290639,0.64
01/03/2024,3555082,0.69
01/04/2024,3560703,0.69
01/05/2024,3263064,0.63
01/06/2024,1942458,0.72
01/07/2024,1472438,0.7
01/08/2024,3303727,0.64
01/09/2024,3353192,0.65
01/10/2024,3557166,0.69
01/11/2024,3688916,0.72
01/12/2024,3365791,0.65
01/13/2024,2167383,0.8
01/14/2024,1743556,0.83
01/15/2024,2169917,1.04
01/16/2024,3235935,0.63
01/17/2024,3616923,0.7
01/18/2024,3655850,0.71
01/19/2024,3176408,0.62
01/20/2024,2024041,0.75
01/21/2024,1576126,0.75
01/22/2024,3305387,0.64
01/23/2024,3652488,0.71
01/24/2024,3666907,0.71
01/25/2024,3681867,0.72
01/26/2024,3380816,0.66
01/27/2024,2283244,0.84
01/28/2024,1549077,0.74
01/29/2024,3297571,0.64
01/30/2024,3717520,0.72
01/31/2024,3808584,0.74
02/01/2024,3814682,0.7
02/02/2024,3457807,0.64
02/03/2024,2324038,0.81
02/04/2024,1742107,0.79
02/05/2024,3481777,0.64
02/06/2024,3857533,0.71
02/07/2024,3900992,0.72
02/08/2024,3903673,0.72
02/09/2024,3547321,0.65
02/10/2024,2385448,0.83
02/11/2024,1774698,0.81
02/12/2024,3374596,0.62
02/13/2024,2273584,0.42
02/14/2024,3963628,0.73
02/15/2024,3874860,0.71
02/16/2024,3504536,0.65
02/17/2024,2178047,0.76
02/18/2024,1850840,0.84
02/19/2024,2244741,1.02
02/20/2024,3490990,0.64
02/21/2024,3591484,0.66
02/22/2024,3588173,0.66
02/23/2024,3219121,0.59
02/24/2024,2308808,0.8
02/25/2024,1740477,0.79
02/26/2024,3439079,0.63
02/27/2024,3802458,0.7
02/28/2024,3784177,0.7
02/29/2024,3905888,0.72
03/01/2024,3573658,0.64
03/02/2024,2094029,0.68
03/03/2024,1961510,0.86
03/04/2024,3539671,0.64
03/05/2024,3819514,0.69
03/06/2024,3865589,0.69
03/07/2024,3893731,0.7
03/08/2024,3685219,0.66
03/09/2024,2128635,0.69
03/10/2024,1803578,0.79
03/11/2024,3497588,0.63
03/12/2024,3988438,0.72
03/13/2024,4024943,0.72
03/14/2024,4049186,0.73
03/15/2024,3643013,0.65
03/16/2024,2553056,0.83
03/17/2024,1972170,0.86
03/18/2024,3482565,0.63
03/19/2024,3869116,0.69
03/20/2024,3886104,0.7
03/21/2024,3862248,0.69
03/22/2024,3581959,0.64
03/23/2024,1863863,0.61
03/24/2024,1912946,0.83
03/25/2024,3583716,0.64
03/26/2024,3969793,0.71
03/27/2024,4014011,0.72
03/28/2024,3910547,0.7
03/29/2024,3372535,0.61
03/30/2024,2526569,0.82
03/31/2024,1936295,0.84
04/01/2024,3321989,0.6
04/02/2024,3900061,0.7
04/03/2024,3890305,0.7
04/04/2024,4100733,0.74
04/05/2024,3800800,0.68
04/06/2024,2477127,0.78
04/07/2024,1899641,0.78
04/08/2024,3506719,0.63
04/09/2024,4042674,0.72
04/10/2024,3791945,0.68
04/11/2024,4000485,0.72
04/12/2024,3668439,0.66
04/13/2024,2535112,0.8
04/14/2024,2068885,0.85
04/15/2024,3704177,0.66
04/16/2024,4033514,0.72
04/17/2024,4021256,0.72
04/18/2024,3966226,0.71
04/19/2024,3705782,0.66
04/20/2024,2537525,0.8
04/21/2024,1918237,0.79
04/22/2024,3219677,0.58
04/23/2024,3522218,0.63
04/24/2024,3608010,0.65
04/25/2024,3723894,0.67
04/26/2024,3431590,0.62
04/27/2024,2506779,0.79
04/28/2024,2084950,0.86
04/29/2024,3323706,0.6
04/30/2024,3638986,0.65
05/01/2024,4032791,0.71
05/02/2024,4061242,0.71
05/03/2024,3780888,0.66
05/04/2024,2563658,0.8
05/05/2024,1889174,0.79
05/06/2024,3652105,0.64
05/07/2024,4098321,0.72
05/08/2024,4087477,0.71
05/09/2024,4086528,0.71
05/10/2024,3677268,0.64
05/11/2024,2648580,0.83
05/12/2024,1858872,0.78
05/13/2024,3703066,0.65
05/14/2024,4116655,0.72
05/15/2024,4114615,0.72
05/16/2024,4105026,0.72
05/17/2024,3816914,0.67
05/18/2024,2691368,0.84
05/19/2024,2121485,0.89
05/20/2024,3682061,0.64
05/21/2024,4029557,0.7
05/22/2024,4104021,0.72
05/23/2024,3863099,0.68
05/24/2024,3583244,0.63
05/25/2024,2347159,0.73
05/26/2024,2019012,0.84
05/27/2024,1667890,0.7
05/28/2024,3825781,0.67
05/29/2024,4006764,0.7
05/30/2024,3979959,0.7
05/31/2024,3688627,0.65
06/01/2024,2446153,0.76
06/02/2024,1978037,0.76
06/03/2024,3611491,0.64
06/04/2024,3979793,0.71
06/05/2024,4051943,0.72
06/06/2024,3774324,0.67
06/07/2024,3752412,0.67
06/08/2024,2673220,0.83
06/09/2024,2134551,0.82
06/10/2024,3702212,0.66
06/11/2024,3995425,0.71
06/12/2024,3977760,0.71
06/13/2024,3936941,0.7
06/14/2024,3517062,0.63
06/15/2024,2431810,0.75
06/16/2024,1897201,0.72
06/17/2024,3325104,0.59
06/18/2024,3920839,0.7
06/19/2024,3046320,1.16
06/20/2024,3857797,0.69
06/21/2024,3500365,0.62
06/22/2024,2385207,0.74
06/23/2024,1908786,0.73
06/24/2024,3467845,0.62
06/25/2024,3831447,0.68
06/26/2024,3901100,0.7
06/27/2024,3776811,0.67
06/28/2024,3522732,0.63
06/29/2024,2454997,0.76
06/30/2024,2002269,0.76
07/01/2024,3273546,0.62
07/02/2024,3542073,0.67
07/03/2024,3409357,0.65
07/04/2024,1992244,0.85
07/05/2024,2700734,0.51
07/06/2024,2100877,0.74
07/07/2024,1804572,0.77
07/08/2024,3228784,0.61
07/09/2024,3605032,0.68
07/10/2024,3691835,0.7
07/11/2024,3688029,0.7
07/12/2024,3261074,0.62
07/13/2024,2203283,0.78
07/14/2024,1869670,0.8
07/15/2024,3259800,0.62
07/16/2024,3594150,0.68
07/17/2024,3651756,0.69
07/18/2024,3637826,0.69
07/19/2024,3372874,0.64
07/20/2024,2269647,0.8
07/21/2024,1877704,0.8
07/22/2024,3235343,0.61
07/23/2024,3606656,0.68
07/24/2024,3656472,0.69
07/25/2024,3638351,0.69
07/26/2024,3288849,0.62
07/27/2024,2306948,0.82
07/28/2024,1851383,0.79
07/29/2024,3202281,0.61
07/30/2024,3590241,0.68
07/31/2024,3576343,0.68
08/01/2024,3544663,0.69
08/02/2024,3153955,0.61
08/03/2024,2200373,0.75
08/04/2024,1752861,0.74
08/05/2024,3222601,0.63
08/06/2024,3462581,0.67
08/07/2024,3511253,0.68
08/08/2024,3490217,0.68
08/09/2024,3041276,0.59
08/10/2024,2356405,0.8
08/11/2024,1918748,0.81
08/12/2024,3169180,0.62
08/13/2024,3491612,0.68
08/14/2024,3544668,0.69
08/15/2024,3495671,0.68
08/16/2024,3198733,0.62
08/17/2024,2256233,0.77
08/18/2024,1713050,0.72
08/19/2024,3076559,0.6
08/20/2024,3475888,0.68
08/21/2024,3498651,0.68
08/22/2024,3427911,0.67
08/23/2024,3209666,0.62
08/24/2024,2332624,0.79
08/25/2024,1905818,0.8
08/26/2024,3113498,0.61
08/27/2024,3477101,0.68
08/28/2024,3516674,0.68
08/29/2024,3438760,0.67
08/30/2024,3152242,0.61
08/31/2024,2158004,0.73
09/01/2024,1969350,0.77
09/02/2024,2007446,0.79
09/03/2024,3629404,0.63
09/04/2024,3868854,0.67
09/05/2024,4033322,0.7
09/06/2024,3794952,0.66
09/07/2024,2479639,0.77
09/08/2024,2101048,0.83
09/09/2024,3811344,0.66
09/10/2024,4182405,0.72
09/11/2024,4214707,0.73
09/12/2024,4232214,0.73
09/13/2024,3911412,0.68
09/14/2024,2706474,0.84
09/15/2024,2161737,0.85
09/16/2024,3821428,0.66
09/17/2024,4189311,0.73
09/18/2024,4232888,0.73
09/19/2024,4255184,0.74
09/20/2024,3933048,0.68
09/21/2024,2744632,0.85
09/22/2024,2131910,0.84
09/23/2024,3898806,0.68
09/24/2024,4323708,0.75
09/25/2024,4335945,0.75
09/26/2024,4295723,0.74
09/27/2024,3945383,0.68
09/28/2024,2557982,0.79
09/29/2024,1959363,0.77
09/30/2024,3849138,0.67
10/01/2024,4179363,0.73
10/02/2024,4068073,0.71
10/03/2024,3627528,0.63
10/04/2024,3506654,0.61
10/05/2024,2710146,0.81
10/06/2024,2065294,0.84
10/07/2024,3847055,0.67
10/08/2024,4256950,0.74
10/09/2024,4313211,0.75
10/10/2024,4329161,0.75
10/11/2024,3868564,0.67
10/12/2024,2587128,0.78
10/13/2024,2153429,0.88
10/14/2024,3066851,0.53
10/15/2024,4284818,0.75
10/16/2024,4357117,0.76
10/17/2024,4309633,0.75
10/18/2024,4030998,0.7
10/19/2024,2752350,0.83
10/20/2024,2176476,0.89
10/21/2024,3842315,0.67
10/22/2024,4218881,0.73
10/23/2024,4276606,0.74
10/24/2024,4304831,0.75
10/25/2024,4019790,0.7
10/26/2024,2828539,0.85
10/27/2024,2208683,0.9
10/28/2024,3983168,0.69
10/29/2024,4378791,0.76
10/30/2024,4417951,0.77
10/31/2024,4340272,0.76
11/01/2024,3780874,0.67
11/02/2024,2817106,0.89
11/03/2024,2602870,1.03
11/04/2024,3949699,0.7
11/05/2024,3640246,0.65
11/06/2024,4113411,0.73
11/07/2024,4232190,0.75
11/08/2024,3971878,0.7
11/09/2024,2770474,0.88
11/10/2024,2117144,0.84
11/11/2024,3277617,1.3
11/12/2024,4263199,0.76
11/13/2024,4331024,0.77
11/14/2024,4296568,0.76
11/15/2024,3986526,0.71
11/16/2024,2789132,0.88
11/17/2024,2101806,0.83
11/18/2024,3900958,0.69
11/19/2024,4277932,0.76
11/20/2024,4298945,0.76
11/21/2024,4217744,0.75
11/22/2024,3854860,0.68
11/23/2024,2720244,0.86
11/24/2024,2075015,0.82
11/25/2024,3914213,0.69
11/26/2024,4030009,0.71
11/27/2024,3710430,0.66
11/28/2024,1513447,0.6
11/29/2024,2677499,1.06
11/30/2024,2319981,0.73
12/01/2024,1893492,0.75
